timestamp,ear,mar,alert_eye,alert_yawn,phone_near,mouth_open,fps
1763926376.9520319,0.2441,0.1111,0,0,0,0,29.74
1763926377.0299113,0.2400,0.0588,0,0,0,0,28.72
1763926377.0669608,0.2352,0.0588,0,0,0,0,28.96
1763926377.112791,0.2363,0.0824,0,0,0,0,28.90
1763926377.1539235,0.2286,0.0980,0,0,0,0,28.87
1763926377.200468,0.2203,0.0727,0,0,0,0,28.89
1763926377.2480943,0.2250,0.0666,0,0,0,0,28.99
1763926377.2950943,0.2217,0.0847,0,0,0,0,29.03
1763926377.3475342,0.2203,0.0967,0,0,0,0,28.67
1763926377.3909962,0.2165,0.0793,0,0,0,0,28.54
1763926377.4308813,0.2224,0.0769,0,0,0,0,28.30
1763926377.4788804,0.2243,0.0597,0,0,0,0,28.06
1763926377.5142016,0.2259,0.0781,0,0,0,0,28.33
1763926377.5583708,0.2250,0.0606,0,0,0,0,28.37
1763926377.596409,0.2316,0.0606,0,0,0,0,28.36
1763926377.6452336,0.2352,0.0334,0,0,0,0,28.35
1763926377.6908622,0.2394,0.0448,0,0,0,0,28.20
1763926377.740529,0.2423,0.0606,0,0,0,0,27.74
1763926377.7963927,0.2388,0.0746,0,0,0,0,27.32
1763926377.8424084,0.2326,0.0429,0,0,0,0,27.08
1763926377.9066393,0.2283,0.0448,0,0,0,0,26.48
1763926377.947287,0.2307,0.0761,0,0,0,0,26.44
1763926377.9902873,0.2253,0.0454,0,0,0,0,26.39
1763926378.0246344,0.2235,0.0589,0,0,0,0,26.39
1763926378.076732,0.2233,0.0769,0,0,0,0,25.97
1763926378.1141279,0.2193,0.0580,0,0,0,0,25.83
1763926378.1560006,0.2120,0.0448,0,0,0,0,25.85
1763926378.2171028,0.2146,0.0761,0,0,0,0,25.60
1763926378.2697902,0.2099,0.0882,0,0,0,0,25.60
1763926378.3066683,0.2155,0.0773,0,0,0,0,25.88
1763926378.3446922,0.2012,0.0606,0,0,0,0,25.82
1763926378.4036245,0.1831,0.0725,0,0,0,0,26.36
1763926378.4605718,0.1717,0.0615,0,0,0,0,25.89
1763926378.4955704,0.1749,0.0781,0,0,0,0,26.15
1763926378.544643,0.1639,0.0441,0,0,0,0,26.22
1763926378.5894952,0.1736,0.0597,0,0,0,0,26.31
1763926378.625301,0.1861,0.0435,0,0,0,0,26.39
1763926378.6588147,0.1901,0.0298,0,0,0,0,26.48
1763926378.6911802,0.1910,0.0597,0,0,0,0,26.93
1763926378.7323732,0.1885,0.0746,1,0,0,0,26.93
1763926378.7822094,0.1872,0.0580,1,0,0,0,26.94
1763926378.8227704,0.1880,0.0580,1,0,0,0,27.33
1763926378.8727372,0.1846,0.0735,1,0,0,0,27.29
1763926378.918946,0.1767,0.0588,1,0,0,0,27.33
1763926378.9654906,0.1772,0.0735,1,0,0,0,27.36
1763926379.0144932,0.1803,0.0739,1,0,0,0,27.58
1763926379.0658476,0.1800,0.0606,1,0,0,0,27.70
1763926379.1075845,0.1835,0.0735,1,0,0,0,27.98
1763926379.1460192,0.1855,0.1212,1,0,0,1,28.37
1763926379.2017605,0.1859,0.0606,1,0,0,0,28.54
1763926379.2483642,0.1810,0.0588,1,0,0,0,29.27
1763926379.288557,0.1759,0.0606,1,0,0,0,29.44
1763926379.3377135,0.1735,0.0922,1,0,0,0,29.42
1763926379.3894577,0.1773,0.1045,1,0,0,0,29.21
1763926379.4330199,0.1816,0.0735,1,0,0,0,29.55
1763926379.4815254,0.1914,0.0714,1,0,0,0,29.51
1763926379.5171,0.1996,0.0556,1,0,0,0,29.37
1763926379.5569367,0.1919,0.0580,1,0,0,0,29.58
1763926379.5985305,0.1857,0.0571,1,0,0,0,29.48
1763926379.6532753,0.1733,0.0588,1,0,0,0,29.42
1763926379.69451,0.1676,0.0290,1,0,0,0,29.52
1763926379.7410767,0.1637,0.0571,1,0,0,0,29.92
1763926379.7730217,0.1779,0.0589,1,0,0,0,30.66
1763926379.821915,0.1875,0.0597,1,0,0,0,30.51
1763926379.8658724,0.2032,0.0580,1,0,0,0,30.59
1763926379.8996935,0.2082,0.0735,1,0,0,0,30.57
1763926379.9480875,0.2162,0.0772,1,0,0,0,30.50
1763926379.991255,0.2145,0.0597,1,0,0,0,30.49
1763926380.0342994,0.2145,0.0746,1,0,0,0,30.20
1763926380.0893884,0.2081,0.1077,1,0,0,0,30.24
1763926380.132428,0.2146,0.0571,1,0,0,0,30.34
1763926380.1883905,0.2134,0.0769,1,0,0,0,29.95
1763926380.2410831,0.2161,0.0857,1,0,0,0,29.49
1763926380.3060956,0.2194,0.0597,1,0,0,0,28.75
1763926380.3580499,0.2288,0.0461,1,0,0,0,28.75
1763926380.3590384,0.2288,0.0461,0,0,0,0,28.35
1763926380.4024746,0.2186,0.0746,0,0,0,0,28.21
1763926380.4587228,0.2180,0.0606,0,0,0,0,27.79
1763926380.5120804,0.2176,0.0435,0,0,0,0,27.40
1763926380.5572972,0.2141,0.0746,0,0,0,0,27.35
1763926380.611975,0.2075,0.0598,0,0,0,0,26.95
1763926380.6579611,0.2084,0.0448,0,0,0,0,26.79
1763926380.7021174,0.2043,0.0757,0,0,0,0,26.56
1763926380.7411358,0.2028,0.0290,0,0,0,0,26.48
1763926380.773835,0.2048,0.0597,0,0,0,0,26.69
1763926380.8123446,0.2065,0.0781,0,0,0,0,26.65
1763926380.8476963,0.2111,0.0769,0,0,0,0,26.72
1763926380.9019132,0.2166,0.0615,0,0,0,0,26.50
1763926380.9460454,0.2168,0.0746,0,0,0,0,26.34
1763926380.9844944,0.2184,0.0606,0,0,0,0,26.35
1763926381.0267434,0.2225,0.0455,0,0,0,0,26.32
1763926381.0722842,0.2211,0.0746,0,0,0,0,26.08
1763926381.1176133,0.2213,0.0597,0,0,0,0,25.80
1763926381.1618834,0.2220,0.0714,0,0,0,0,25.54
1763926381.207072,0.2210,0.0597,0,0,0,0,25.37
1763926381.2492647,0.2198,0.0597,0,0,0,0,25.14
1763926381.3123264,0.2194,0.0435,0,0,0,0,24.55
1763926381.3532057,0.2186,0.0588,0,0,0,0,24.49
1763926381.3997245,0.2161,0.0571,0,0,0,0,24.20
1763926381.447334,0.2199,0.0597,0,0,0,0,24.09
1763926381.489251,0.2241,0.0429,0,0,0,0,24.03
1763926381.5307744,0.2318,0.0588,0,0,0,0,23.94
1763926381.577864,0.2293,0.0714,0,0,0,0,23.93
1763926381.620483,0.2391,0.0580,0,0,0,0,24.12
1763926381.6645408,0.2373,0.0769,0,0,0,0,24.49
1763926381.707543,0.2367,0.0448,0,0,0,0,24.69
1763926381.7504838,0.2354,0.0606,0,0,0,0,24.70
1763926381.7945187,0.2435,0.0615,0,0,0,0,24.94
1763926381.8364718,0.2372,0.0448,0,0,0,0,25.18
1763926381.879968,0.2455,0.0588,0,0,0,0,25.11
1763926381.9206755,0.2463,0.0580,0,0,0,0,25.43
1763926381.9615188,0.2517,0.0441,0,0,0,0,25.51
1763926382.0033257,0.2532,0.0746,0,0,0,0,25.53
1763926382.0468009,0.2606,0.0298,0,0,0,0,25.46
1763926382.0891488,0.2577,0.0757,0,0,0,0,25.25
1763926382.1323926,0.2605,0.0435,0,0,0,0,25.14
1763926382.1789315,0.2548,0.0606,0,0,0,0,24.90
1763926382.2235959,0.2523,0.0580,0,0,0,0,24.89
1763926382.27309,0.2491,0.0429,0,0,0,0,24.79
1763926382.3241432,0.2494,0.0606,0,0,0,0,24.60
1763926382.3739238,0.2491,0.0625,0,0,0,0,24.46
1763926382.4196825,0.2482,0.0454,0,0,0,0,24.45
1763926382.4697776,0.2469,0.0448,0,0,0,0,24.34
1763926382.5164406,0.2507,0.0448,0,0,0,0,24.29
1763926382.563029,0.2497,0.0606,0,0,0,0,24.26
1763926382.6045833,0.2371,0.0448,0,0,0,0,24.29
1763926382.6511812,0.2195,0.0635,0,0,0,0,24.63
1763926382.6967728,0.2041,0.0615,0,0,0,0,24.52
1763926382.7383418,0.1897,0.0615,0,0,0,0,24.61
1763926382.783423,0.1883,0.0441,0,0,0,0,24.69
1763926382.8242805,0.1982,0.0781,0,0,0,0,24.71
1763926382.8669686,0.2149,0.0308,0,0,0,0,24.69
1763926382.9159615,0.2312,0.0635,0,0,0,0,24.62
1763926382.960203,0.2446,0.0308,0,0,0,0,24.61
1763926383.0031843,0.2455,0.0635,0,0,0,0,24.65
